공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일
2025-24025,36066300,서울,전기,,수의,,2025-12-01
R25BK01189075-000,149978091,서울,전기,,수의,,2025-12-01
R25BK01188736-000,90536364,서울,전기,,수의,,2025-12-01
R25BK01190334-000,57218182,서울,전기,,수의,,2025-12-01
R25BK01191444-000,96717273,서울,전기,,수의,,2025-12-01
R25BK01193193-000,73910910,서울,전기,,수의,,2025-12-01
R25BK01192668-000,365448000,서울,전기,,적격심사,행자부_별표-6,2025-12-01
R25BK01191812-000,545454545,서울,전기,,적격심사,행자부_별표-5,2025-12-01
R25BK01191996-000,545454545,서울,전기,,적격심사,행자부_별표-5,2025-12-01
R25BK01192146-000,363636363,서울,전기,,적격심사,행자부_별표-6,2025-12-01
R25BK01186387-000,183231819,서울,전기,,적격심사,행자부_별표-7,2025-12-01
R25BK01193869-000,215156364,서울,전기,,적격심사,행자부_별표-6,2025-12-01
R25BK01192465-000,136959091,서울,전기,,적격심사,조달청_별표-4,2025-12-01
R25BK01187834-000,317097273,서울,전기,,적격심사,행자부_별표-6,2025-12-01
R25BK01192908-000,208348182,서울,전기,,적격심사,행자부_별표-6,2025-12-01
R25BK01190773-000,75300000,서울,전기,,적격심사,행자부_별표-7,2025-12-01
R25BK01193059-000,283429091,서울,전기,,적격심사,행자부_별표-6,2025-12-01
R25BK01192627-000,260000000,서울,전기,,적격심사,조달청_별표-4,2025-12-01
R25BK01191348-000,167976364,서울,전기,,적격심사,행자부_별표-7,2025-12-01
R25BK01192622-000,329499091,서울,전기,,적격심사,행자부_별표-6,2025-12-01
R25BK01196385-000,338762800,서울,전기,,적격심사,행자부_별표-6,2025-12-02
R25BK01197958-000,159000000,서울,전기,,적격심사,행자부_별표-7,2025-12-02
R25BK01198048-000,159000000,서울,전기,,적격심사,행자부_별표-7,2025-12-02
R25BK01195473-000,282068182,서울,전기,,적격심사,행자부_별표-6,2025-12-02
R25BK01197140-000,547950000,서울,전기,,적격심사,조달청_별표-2,2025-12-02
2025-24339,74816318,서울,전기,,수의,,2025-12-03
2025-24411,24636364,서울,전기,,수의,,2025-12-03
R25BK01200899-000,78376000,서울,전기,,수의,,2025-12-03
2025-24526,40128018,서울,전기,,수의,,2025-12-03
R25BK01200337-000,6314700,서울,전기,철도신호_준공금액,수의,,2025-12-03
R25BK01197955-000,153531819,서울,전기,,수의,,2025-12-03
R25BK01199422-000,106142727,서울,전기,,수의,,2025-12-03
R25BK01198588-000,113360000,서울,전기,,수의,,2025-12-03
R25BK01199275-000,85645455,서울,전기,,수의,,2025-12-03
