공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일
R26BK01256077-001,61710000,광주광역시,"전문소방/(전기소방,기계소방)",,수의,,2026-01-01
R26BK01256084-000,83598182,광주광역시,통신,,수의,,2026-01-01
R26BK01256102-000,206660000,경남,기계가스설비,,적격심사,조달청_별표-4,2026-01-01
R26BK01256108-000,144390000,"경남,진주시",기계가스설비,,수의,,2026-01-01
R26BK01256107-000,175600000,"경남,진주시",실내건축,,수의,,2026-01-01
R25BK01249228-001,343334546,전국,"전문소방/(전기소방,기계소방)",전시시설_준공면적,적격심사,조달청_별표-2,2026-01-02
R25BK01244933-000,145030910,"경기,안성시",통신,,수의,,2026-01-02
R25BK01255891-001,72727273,"강원,속초시",전기,,수의,,2026-01-02
R25BK01255897-001,72727273,"강원,속초시",전기,,수의,,2026-01-02
R25BK01255901-001,72727273,"강원,속초시",전기,,수의,,2026-01-02
R25BK01255905-001,72727273,"강원,속초시",전기,,수의,,2026-01-02
R26BK01257162-000,2772727,광주광역시,전기,,수의,,2026-01-02
R26BK01256474-000,22409091,"충북,제천시",전기,,수의,,2026-01-02
R26BK01256379-000,60390909,충남,"전문소방/(전기소방,기계소방)",,수의,,2026-01-02
R26BK01256570-000,17850000,대구,통신,,수의,,2026-01-02
R26BK01256548-000,25950000,대구,전기,,수의,,2026-01-02
R26BK01256480-000,30420000,광주광역시,전기,,수의,,2026-01-02
R26BK01256517-000,109552727,전북,전기,,수의,,2026-01-02
R26BK01256154-000,33633250,제주,"전문소방/(전기소방,기계소방)",,수의,,2026-01-02
R25BK01254558-002,159080000,"충북,청주시",전기,,수의,,2026-01-02
R25BK01251945-000,263430909,광주광역시,전기,,적격심사,행자부_별표-6,2026-01-02
R26BK01256443-000,214450000,대구,전기,,적격심사,행자부_별표-6,2026-01-02
R26BK01256807-000,360980000,대구,전기,,적격심사,행자부_별표-6,2026-01-02
R26BK01256766-000,537700000,대구,통신,,적격심사,행자부_별표-5,2026-01-02
R26BK01256192-000,161592727,부산,전기,,적격심사,조달청_별표-4,2026-01-02
R26BK01257245-000,494629091,대구,"전문소방/(전기소방,기계소방)",,적격심사,행자부_별표-5,2026-01-02
R26BK01256995-000,380340000,경북,전기,,적격심사,행자부_별표-6,2026-01-02
R26BK01257116-000,298250000,경북,통신,,적격심사,행자부_별표-6,2026-01-02
R25BK01252122-000,72536364,강원,전기,,적격심사,조달청_별표-5,2026-01-02
R25BK01252001-000,192771818,경기,전기,,적격심사,행자부_별표-7,2026-01-02
E012509154,198918748,충남,전기,배전지중_준공금액,적격심사,한국전력공사(배전)_3억미만,2026-01-02
R26BK01257105-000,254688182,경남,"전문소방/(전기소방,기계소방)",,적격심사,행자부_별표-6,2026-01-02
R26BK01256076-000,209709091,충남,전문소방,,적격심사,행자부_별표-6,2026-01-02
R26BK01256097-000,576113637,충남,전기,,적격심사,행자부_별표-5,2026-01-02
R26BK01256085-000,268541818,충남,통신,,적격심사,행자부_별표-6,2026-01-02
R25BK01255683-003,207910910,경기,"전문소방/(전기소방,기계소방)",,적격심사,행자부_별표-6,2026-01-02
R25BK01251577-000,256571818,"강원,삼척시",건축/토건,,수의,,2026-01-02
R25BK01152374-000,15429963637,전국/경기,토목/토건,,적격심사,행자부_별표-1,2026-01-02
R26BK01256522-000,227500000,"경남,산청군",토목/토건,,수의,,2026-01-02
R26BK01256541-000,314000000,"경남,산청군",토목/토건,,수의,,2026-01-02
R26BK01256546-000,207636364,"경남,산청군",토목/토건,,수의,,2026-01-02
R26BK01256533-000,153198182,"경남,산청군",토목/토건,,수의,,2026-01-02
R26BK01256535-000,283750909,"경남,산청군",토목/토건,,수의,,2026-01-02
R26BK01256823-000,256136364,"경남,밀양시",토목/토건,,수의,,2026-01-02
R26BK01256558-000,303600000,"경남,산청군",토목/토건,,수의,,2026-01-02
R26BK01256684-000,237325455,"경남,김해시",토목/토건,,수의,,2026-01-02
R26BK01256598-000,264227273,"경남,산청군",토목/토건,,수의,,2026-01-02
R26BK01256619-000,297500000,"경남,산청군",토목/토건,,수의,,2026-01-02
2025-27561,500350000,강원,"토목/토건/(지반조성포장,상하수도,금속창호지붕,비계구조)",,적격심사,국방부_별지-5,2026-01-02
202600004,996727273,충북/경북,조경식재시설물/조경,,적격심사,한국도로공사(유지보수-단가)_별표3,2026-01-02
202600007,920000000,충북/경북,조경식재시설물/조경,,적격심사,한국도로공사(유지보수-단가)_별표3,2026-01-02
202600006,999272727,경기/충북,조경식재시설물/조경,,적격심사,한국도로공사(유지보수-단가)_별표3,2026-01-02
202600002,998545455,강원/충북,조경식재시설물/조경,,적격심사,한국도로공사(유지보수-단가)_별표3,2026-01-02
202600001,998909091,경기/충북,조경식재시설물/조경,,적격심사,한국도로공사(유지보수-단가)_별표3,2026-01-02
202600003,985090909,경기/충북,조경식재시설물/조경,,적격심사,한국도로공사(유지보수-단가)_별표3,2026-01-02
R26BK01256933-000,445454546,충남,지반조성포장/토목/토건,,적격심사,행자부_별표-5,2026-01-02
R26BK01256907-000,536363637,충남,지반조성포장/토목/토건,,적격심사,행자부_별표-5,2026-01-02
R26BK01256919-000,445454546,충남,지반조성포장/토목/토건,,적격심사,행자부_별표-5,2026-01-02
R25BK01255776-000,86282727,서울,"건축/토건/(도장습식방수석공,비계구조)",,적격심사,행자부_별표-7,2026-01-02
R26BK01256103-000,2459590910,충남,건축/토건,,적격심사,행자부_별표-4,2026-01-02
R25BK01249642-000,1940201819,광주광역시,건축/토건,,적격심사,행자부_별표-4,2026-01-02
R26BK01257208-000,4108920000,대구,건축/토건,,적격심사,행자부_별표-3,2026-01-02
R26BK01256718-000,170321818,대구,건축/토건,,적격심사,행자부_별표-7,2026-01-02
R26BK01256680-000,1053558000,경기,토목/토건,,적격심사,한국농어촌공사_별표-2,2026-01-02
R26BK01257214-000,755252728,충남,건축/토건,,적격심사,행자부_별표-5,2026-01-02
R26BK01257194-000,596600000,충남,건축/토건,,적격심사,행자부_별표-5,2026-01-02
R25BK01255920-000,7686127272,강원,건축/토건,,적격심사,행자부_별표-2,2026-01-02
2025-27321,839199091,강원,"토목/토건/(철콘,지반조성포장)",,적격심사,국방부_별지-5,2026-01-02
R25BK01255322-002,737380000,경북,"토목/토건/(철콘,지반조성포장)",,적격심사,행자부_별표-5,2026-01-02
2025-27239,663404545,강원,"토목/토건/(철콘,지반조성포장)",,적격심사,국방부_별지-5,2026-01-02
R26BK01257017-000,107936364,서울,실내건축,,수의,,2026-01-02
R26BK01256900-000,85837272,전북,지반조성포장,,수의,,2026-01-02
R25BK01254535-000,139954545,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254641-000,46181818,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254628-000,84500000,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254594-000,81145455,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254664-000,61154546,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254604-000,90481818,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254544-000,109372727,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254549-000,28054545,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254618-000,141300000,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01254607-000,41409091,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R26BK01257219-000,90909091,"충남,아산시",지반조성포장,,수의,,2026-01-02
R26BK01256591-000,117272728,"경기,화성시",도장습식방수석공,,수의,,2026-01-02
R26BK01256420-000,76090909,"충북,청주시",지반조성포장,,수의,,2026-01-02
R25BK01253991-000,116518182,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01253969-000,123990909,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R26BK01256297-000,115070000,"인천,계양구/인천,부평구/인천,남동구/인천,동구/인천,서구/인천,연수구/인천,중구/인천,미추홀구",도장습식방수석공,,수의,,2026-01-02
R25BK01253651-000,35890909,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01253548-000,70590909,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R26BK01256538-000,87650000,"경남,산청군",도장습식방수석공,,수의,,2026-01-02
R26BK01256551-000,124690910,"경남,산청군",철콘,,수의,,2026-01-02
R25BK01253580-000,47827273,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R26BK01256566-000,47525455,"경남,산청군",지반조성포장,,수의,,2026-01-02
R26BK01256622-000,90909091,"경남,산청군",도장습식방수석공,,수의,,2026-01-02
R26BK01256586-000,179818182,"경남,산청군",도장습식방수석공,,수의,,2026-01-02
R26BK01256440-000,37636364,"충북,청주시",지반조성포장,,수의,,2026-01-02
R25BK01254008-000,118709091,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01253680-000,113563636,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R26BK01256478-000,80697273,"충북,청주시",금속창호지붕,,수의,,2026-01-02
R26BK01256604-000,199600000,"경남,산청군",철콘,,수의,,2026-01-02
R25BK01253935-000,85636364,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R25BK01253624-000,51263636,"전남,곡성군",도장습식방수석공,,수의,,2026-01-02
R26BK01256631-000,91600000,"경남,산청군",도장습식방수석공,,수의,,2026-01-02
R26BK01256470-000,156363637,"경북,구미시",철콘,,수의,,2026-01-02
R26BK01256639-000,89450000,"충남,태안군",실내건축,,수의,,2026-01-02
R26BK01256098-000,67590000,"충남,태안군",기계가스설비,,수의,,2026-01-02
R26BK01256431-000,49909091,"충북,청주시",지반조성포장,,수의,,2026-01-02
R26BK01256932-000,82909091,울산,"(철콘,지반조성포장)",,수의,,2026-01-02
R26BK01257049-000,83580000,울산,"(금속창호지붕,실내건축)",,수의,,2026-01-02
R26BK01256956-000,82909091,울산,"(철콘,지반조성포장)",,수의,,2026-01-02
R26BK01257058-000,83580000,울산,도장습식방수석공,,수의,,2026-01-02
R26BK01257030-000,83650000,울산,"(금속창호지붕,실내건축)",,수의,,2026-01-02
R26BK01256633-000,49240000,대구,기계가스설비,,수의,,2026-01-02
R26BK01257231-000,67990909,대구,"(도장습식방수석공,실내건축)",,수의,,2026-01-02
R25BK01248409-000,72681819,서울,실내건축,,수의,,2026-01-02
R26BK01256124-000,138133636,서울,실내건축,,수의,,2026-01-02
R26BK01256424-000,58890000,광주광역시,실내건축,,수의,,2026-01-02
R26BK01256160-000,99720000,광주광역시,실내건축,,수의,,2026-01-02
R25BK01253756-000,319245455,서울,실내건축,,적격심사,행자부_별표-6,2026-01-02
U25S295000/0,284780000,"경북,울진군",지반조성포장,,적격심사,한국수력원자력_별표-1-전문,2026-01-02
R26BK01257188-000,220940000,경남,금속창호지붕,,수의,,2026-01-02
R26BK01257176-000,135363636,대구,"(실내건축,금속창호지붕)",,적격심사,행자부_별표-7,2026-01-02
R26BK01257239-000,830990000,부산,"(실내건축,금속창호지붕)",,적격심사,행자부_별표-5,2026-01-02
R26BK01256090-000,412760000,충남,기계가스설비,,적격심사,행자부_별표-5,2026-01-02
U25S292000/0,291270000,전국,도장습식방수석공,한수원등록업체[도장],적격심사,한국수력원자력_별표-1-전문,2026-01-02
R25BK01254448-000,71475000,"강원,원주시","(도장습식방수석공,금속창호지붕)",,수의,,2026-01-02
