공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일,ParentFound
2026-01482,34036364,경기,전기,,수의,,2026-03-03,경기
R26BK01359513-002,83290000,대전,전기,,수의,,2026-03-03,대전
R26BK01363536-000,86520000,서울,전기,,수의,,2026-03-03,서울
R26BK01365861-000,37200000,광주광역시,전기소방/전문소방,,수의,,2026-03-03,광주
R26BK01365056-000,128240000,부산,전기,,수의,,2026-03-03,부산
R26BK01361594-001,27272727,서울/경기,통신,,수의,,2026-03-03,서울
R26BK01358605-002,2449446364,전국/서울,전기,,적격심사,행자부_별표-4,2026-03-03,서울
E012601284,680492000,서울,전기,"경력기술자[가공송전],단도체_준공금액,장비[가공송전]",적격심사,한국전력공사(가공송전)_10억미만,2026-03-03,서울
R26BK01363670-001,58753637,경기,전기,,적격심사,조달청_별표-5,2026-03-03,경기
R26BK01355047-000,300000000,충남/세종,"전문소방/(전기소방,기계소방)",,적격심사,조달청_별표-2,2026-03-03,세종
